product_id,name,spec,bal_qty,warehouse_code,barcode,box_qty
MLPP000,미미로린스휴대용파우치,미미로린스휴대용파우치,-673,W106,,1
MLPP001,"미미로린스 모먼트 시크릿 푸 퍼퓸- 라즈베리 만다린","미미로린스 모먼트 시크릿 푸 퍼퓸- 라즈베리 만다린 [50ml]",-56,W104,,1
MLPP002,"미미로린스 모먼트 시크릿 푸 퍼퓸- 시트러스 베르가못",50ml,0,W104,,1
MLRB001,"미미로린스 쇼핑백 리본","미미로린스 쇼핑백 리본",2894,W106,,1
MLRB002,"(리본)로즈마인 홈폴리쉬 드레스 퍼퓸 3개입",,0,W104,,1
MLRM001,"미미로린스 씬트리메인 룸 미스트 - 프리지아 로맨스",,0,W104,,1
MLRM003,"미미로린스 씬트리메인 룸 미스트 - 퀸스 플라워",,0,W104,,1
MLRM004,"미미로린스 씬트리메인 룸 미스트 - 주스 드 시트론",,0,W104,,1
MLRS001,"미미로린스 씬트 리메인 프로테인 컨디셔너 - 프리지아 로맨스",,0,W104,,1
MLRS002,"미미로린스 씬트 리메인 프로테인 컨디셔너 - 프레쉬 라임",,0,W104,,1
MLRS003,"미미로린스 씬트 리메인 프로테인 컨디셔너 - 어딕씨옹",,0,W104,,1
MLRS004,"미미로린스 씬트 리메인 프로테인 컨디셔너 - 퀸스 플라워",,0,W104,,1
MLRS005,"미미로린스 모먼트 릴렉스 헤어 컨디셔너 그린 블리스","미미로린스 모먼트 릴렉스 헤어 컨디셔너 그린 블리스 [500 ml]",3,W104,,1
MLSC024,"미미로린스 씬트리메인 그랜드 그레이트 자 캔들 - 망고앤구아바",580g,0,W104,,1
MLSC025,"미미로린스 씬트리메인 그랜드 그레이트 자 캔들 - 미드나잇",580g,0,W104,,1
MLSC026,"미미로린스 씬트리메인 그랜드 그레이트 자 캔들 - 앰버라벤더",580g,0,W104,,1
MLSC027,"미미로린스 씬트리메인 그랜드 그레이트 자 캔들 - 퀸스플라워",580g,0,W104,,1
MLSP001,"미미로린스 씬트 리메인 프로테인 샴푸 - 프리지아 로맨스",300ml,0,W104,,1
MLSP002,"미미로린스 씬트 리메인 프로테인 샴푸 - 프레쉬 라임",300ml,0,W104,,1
MLSP004,"미미로린스 씬트 리메인 프로테인 샴푸 - 퀸스 플라워",300ml,0,W104,,1
MLSP005,"미미로린스 모먼트 릴렉스 헤어 샴푸 그린 블리스","미미로린스 모먼트 릴렉스 헤어 샴푸 그린 블리스 [500 ml]",2,W104,,1
MLSPB01,"미미로린스 씬트 리메인 프로테인 샴푸 - 프리지아 로맨스",1000ml,0,W104,,1
MLSPB03,"미미로린스 씬트 리메인 프로테인 샴푸 - 어딕씨옹",1000ml,0,W104,,1
MLSPB04,"미미로린스 씬트 리메인 프로테인 샴푸 - 퀸스 플라워",1000ml,0,W104,,1
MLST003,"미미로린스 씬트 리메인 사쉐 - 화이트 코튼",,0,W104,,1
MLST004,"미미로린스 씬트 리메인 사쉐 - 에이프릴",7g,0,W104,,1
MLXX05T,"미미로린스 씬트 리메인 실크 모이스처 바디 5종세트",,0,W104,,1
MLXX5T2,"미미로린스 실크모이스처 퍼퓸드 바디5종세트_머스크엣머스크",,0,W104,,1
MNHT000,"모나 플러스 헤어토닉액","모나 플러스 헤어토닉액 [100ml 제조원: 그레이스씨앤티]",-1,W106,,1
MNSP000,"모나 샴푸액","모나 샴푸액 [480ml 제조원: 그레이스씨앤티]",-2,W106,,1
MRSC001,"마르샹 바디베일 (프레쉬 그린)","마르샹 바디베일 (프레쉬 그린)",-104,W104,,1
MRSC002,"마르샹 바디베일 (플로럴 퍼플)",,0,W104,,1
MST2T04,"미미로린스 씬트 리메인 사쉐 - 에이프릴","미미로린스 씬트 리메인 사쉐 - 에이프릴 [7g*2 (세트)]",-18,W104,,1
MST2T09,"미미로린스 씬트 리메인 사쉐 - 네트와제","미미로린스 씬트 리메인 사쉐 - 네트와제 [7g*2 (세트)]",-45,W104,,1
MST2T11,"미미로린스 씬트 리메인 사쉐 - 얼그레이&라임","미미로린스 씬트 리메인 사쉐 - 얼그레이&라임 [7g*2 (세트)]",-36,W104,,1
NABCN10,"뉴 아로마 마일드샤워 바디클렌저 - 퍼퓸 가든로즈","뉴 아로마 마일드샤워 바디클렌저 - 퍼퓸 가든로즈",-25,W104,,1
NPBC001,"나뚜리아 퓨어 바디워시 (크렌베리 앤 오렌지)","나뚜리아 퓨어 바디워시 (크렌베리 앤 오렌지) [750ml]",1433,W104,,1
NPBC002,"나뚜리아 퓨어 바디워시 (와일드민트 앤 라임)","나뚜리아 퓨어 바디워시 (와일드민트 앤 라임) [750ml]",1228,W104,,1
NPBC003,"나뚜리아 퓨어 바디워시 (로즈 앤 로즈마리)","나뚜리아 퓨어 바디워시 (로즈 앤 로즈마리) [750ml]",1234,W104,,1
NPBC004,"나뚜리아 퓨어 바디워시 (허니 앤 화이트릴리)","나뚜리아 퓨어 바디워시 (허니 앤 화이트릴리) [750ml]",1259,W104,,1
NPBC005,"에바스 나뚜리아 크리미 밀크 바디워시- 밀크미","에바스 나뚜리아 크리미 밀크 바디워시- 밀크미 [750ml]",903,W104,,1
NPBC006,"에바스 나뚜리아 크리미 밀크 바디워시- 쏘바닐라","에바스 나뚜리아 크리미 밀크 바디워시- 쏘바닐라 [750ml]",1358,W104,,1
NPBC007,"에바스 나뚜리아 크리미 밀크 바디워시- 초코라떼","에바스 나뚜리아 크리미 밀크 바디워시- 초코라떼 [750ml]",1191,W104,,1
NPBC008,"에바스 나뚜리아 크리미 밀크 바디워시- 그린티","에바스 나뚜리아 크리미 밀크 바디워시- 그린티 [750ml]",780,W104,,1
NPBC009,"에바스 나뚜리아 크리미 밀크 바디워시- 휘그펄프","에바스 나뚜리아 크리미 밀크 바디워시- 휘그펄프 [750ml]",1810,W104,,1
